event_id,venta_id,cliente_nombre,plataforma,metodo_pago,total,riesgo_fraude,event_timestamp,batch_id
EVT-000401,V20461,desconocido,PC,Efectivo,259.9,0.95,2026-05-11 00:43:10,1
EVT-000315,V18046,desconocido,Xbox,Tarjeta Crédito,219.9,0.94,2026-05-11 00:43:01,1
EVT-000320,V26018,desconocido,Switch,Yape,249.9,0.94,2026-05-11 00:43:02,1
EVT-000374,V11696,desconocido,PC,Plin,499.8,0.94,2026-05-11 00:43:07,1
EVT-000421,V15324,desconocido,PC,Plin,299.9,0.94,2026-05-11 00:43:12,1
EVT-000435,V46886,desconocido,PS5,Efectivo,599.8,0.94,2026-05-11 00:43:14,1
EVT-000305,V05339,desconocido,Xbox,Tarjeta Débito,539.7,0.93,2026-05-11 00:43:00,1
EVT-000323,V04080,desconocido,PS4,Plin,289.9,0.93,2026-05-11 00:43:02,1
EVT-000356,V23221,desconocido,PC,Yape,599.8,0.93,2026-05-11 00:43:06,1
EVT-000429,V08766,desconocido,PC,Tarjeta Crédito,219.9,0.93,2026-05-11 00:43:13,1
EVT-000265,V32500,desconocido,PS5,Efectivo,499.8,0.92,2026-05-11 00:42:56,1
EVT-000332,V45859,desconocido,PC,Plin,439.8,0.92,2026-05-11 00:43:03,1
EVT-000347,V43631,desconocido,PS4,Tarjeta Crédito,359.8,0.92,2026-05-11 00:43:05,1
EVT-000369,V11919,desconocido,PC,Yape,499.8,0.92,2026-05-11 00:43:07,1
EVT-000281,V14884,desconocido,PS4,Tarjeta Crédito,519.8,0.91,2026-05-11 00:42:58,1
EVT-000441,V13526,desconocido,PS5,Efectivo,249.9,0.9,2026-05-11 00:43:15,1
EVT-000317,V13988,desconocido,PS5,Tarjeta Crédito,239.9,0.89,2026-05-11 00:43:02,1
EVT-000384,V31799,desconocido,Switch,Efectivo,599.8,0.89,2026-05-11 00:43:08,1
EVT-000388,V34873,desconocido,PC,Plin,459.8,0.89,2026-05-11 00:43:09,1
EVT-000438,V27124,desconocido,PS5,Yape,559.8,0.89,2026-05-11 00:43:14,1
EVT-000450,V49716,desconocido,Switch,Tarjeta Crédito,229.9,0.89,2026-05-11 00:43:16,1
EVT-000469,V27642,desconocido,PS5,Yape,289.9,0.89,2026-05-11 00:43:18,1
EVT-000473,V14275,desconocido,PS4,Plin,389.7,0.89,2026-05-11 00:43:18,1
EVT-000306,V20466,desconocido,PC,Plin,719.7,0.88,2026-05-11 00:43:00,1
EVT-000425,V27691,desconocido,PS4,Tarjeta Débito,189.9,0.88,2026-05-11 00:43:13,1
EVT-000445,V21519,desconocido,PS4,Plin,299.9,0.88,2026-05-11 00:43:15,1
EVT-000453,V10945,desconocido,PS5,Yape,239.9,0.88,2026-05-11 00:43:16,1
EVT-000479,V48779,desconocido,Switch,Efectivo,569.7,0.88,2026-05-11 00:43:19,1
EVT-000461,V38075,desconocido,PS4,Tarjeta Crédito,229.9,0.87,2026-05-11 00:43:17,1
EVT-000491,V04775,desconocido,PC,Plin,259.9,0.87,2026-05-11 00:43:21,1
EVT-000337,V44933,desconocido,Xbox,Plin,249.9,0.86,2026-05-11 00:43:04,1
EVT-000443,V36387,desconocido,PC,Yape,249.9,0.86,2026-05-11 00:43:15,1
EVT-000299,V38241,desconocido,Xbox,Efectivo,519.8,0.85,2026-05-11 00:43:00,1
EVT-000342,V40424,desconocido,Switch,Efectivo,399.8,0.85,2026-05-11 00:43:04,1
EVT-000410,V37996,desconocido,PS4,Plin,499.8,0.85,2026-05-11 00:43:11,1
EVT-000431,V34887,desconocido,PS4,Plin,899.7,0.85,2026-05-11 00:43:13,1
EVT-000290,V24697,desconocido,PS4,Plin,289.9,0.84,2026-05-11 00:42:59,1
EVT-000412,V10728,desconocido,PS4,Efectivo,459.8,0.84,2026-05-11 00:43:11,1
EVT-000487,V02661,desconocido,PS4,Tarjeta Débito,259.9,0.84,2026-05-11 00:43:20,1
EVT-000259,V14993,desconocido,Switch,Efectivo,689.7,0.82,2026-05-11 00:42:55,1
EVT-000457,V42320,desconocido,Xbox,Yape,439.8,0.82,2026-05-11 00:43:17,1
EVT-000296,V10778,desconocido,Xbox,Plin,379.8,0.81,2026-05-11 00:42:59,1
EVT-000310,V22892,desconocido,PS4,Plin,719.7,0.81,2026-05-11 00:43:01,1
EVT-000436,V37509,desconocido,Xbox,Tarjeta Débito,289.9,0.81,2026-05-11 00:43:14,1
EVT-000434,V10459,desconocido,PC,Plin,279.9,0.8,2026-05-11 00:43:14,1
EVT-000486,V40372,desconocido,PS5,Yape,199.9,0.79,2026-05-11 00:43:20,1
EVT-000314,V08601,desconocido,PS4,Efectivo,439.8,0.78,2026-05-11 00:43:01,1
EVT-000422,V22941,desconocido,Xbox,Tarjeta Débito,479.8,0.78,2026-05-11 00:43:12,1
EVT-000348,V40317,desconocido,Xbox,Tarjeta Débito,249.9,0.77,2026-05-11 00:43:05,1
EVT-000352,V47332,desconocido,Xbox,Yape,499.8,0.77,2026-05-11 00:43:05,1
EVT-000371,V35374,desconocido,Xbox,Efectivo,599.7,0.77,2026-05-11 00:43:07,1
EVT-000387,V20987,desconocido,Switch,Efectivo,459.8,0.77,2026-05-11 00:43:09,1
EVT-000420,V44801,desconocido,Xbox,Efectivo,229.9,0.77,2026-05-11 00:43:12,1
EVT-000423,V46542,desconocido,Xbox,Efectivo,779.7,0.77,2026-05-11 00:43:13,1
EVT-000466,V31553,desconocido,PS5,Efectivo,279.9,0.77,2026-05-11 00:43:18,1
EVT-000279,V11925,desconocido,Switch,Plin,179.9,0.76,2026-05-11 00:42:57,1
EVT-000287,V09110,desconocido,PC,Efectivo,439.8,0.76,2026-05-11 00:42:58,1
EVT-000321,V21318,desconocido,PS4,Plin,249.9,0.76,2026-05-11 00:43:02,1
EVT-000327,V14096,desconocido,Switch,Efectivo,439.8,0.75,2026-05-11 00:43:03,1
EVT-000377,V29141,desconocido,PC,Tarjeta Débito,539.8,0.75,2026-05-11 00:43:08,1
EVT-000380,V18562,desconocido,Switch,Efectivo,189.9,0.75,2026-05-11 00:43:08,1
EVT-000390,V38202,desconocido,PC,Tarjeta Crédito,279.9,0.75,2026-05-11 00:43:09,1
EVT-000440,V40478,desconocido,Switch,Yape,599.8,0.75,2026-05-11 00:43:14,1
