event_id,venta_id,cliente_nombre,plataforma,metodo_pago,total,riesgo_fraude,event_timestamp,batch_id
EVT-000218,V33875,Juan Bautista del Codina,PC,Tarjeta Débito,539.7,0.95,2026-05-12 00:08:22,10
EVT-000320,V18051,Nazaret Escalona Galán,PS5,Plin,259.9,0.95,2026-05-12 00:08:34,10
EVT-000455,V40692,Gil Patricio Casanova Barrena,Switch,Efectivo,399.8,0.95,2026-05-12 00:08:50,10
EVT-000456,V13435,Belén Ferrándiz-Fuster,PS5,Tarjeta Crédito,299.9,0.95,2026-05-12 00:08:50,10
EVT-000081,V34877,Haroldo Casas Rocamora,PS4,Efectivo,599.8,0.94,2026-05-12 00:08:08,10
EVT-000154,V07679,Nicanor Rueda Olivé,Switch,Yape,399.8,0.94,2026-05-12 00:08:16,10
EVT-000220,V44769,Lola Torrent Pulido,Switch,Tarjeta Crédito,249.9,0.94,2026-05-12 00:08:22,10
EVT-000224,V42800,Noemí Luque Roig,PS5,Tarjeta Crédito,179.9,0.94,2026-05-12 00:08:23,10
EVT-000266,V00168,Alba Casado Luna,PC,Tarjeta Crédito,229.9,0.94,2026-05-12 00:08:28,10
EVT-000499,V41789,Mar Barón Fonseca,Switch,Plin,389.7,0.94,2026-05-12 00:08:55,10
EVT-000075,V22848,Loreto Meléndez Juárez,PC,Tarjeta Débito,439.8,0.93,2026-05-12 00:08:08,10
EVT-000437,V16191,René Corral Mármol,PS5,Tarjeta Débito,289.9,0.93,2026-05-12 00:08:48,10
EVT-000299,V40667,Conrado Omar Barbero Agudo,PS5,Yape,229.9,0.92,2026-05-12 00:08:31,10
EVT-000304,V16159,Atilio Rubio-Carbó,Xbox,Tarjeta Débito,259.8,0.92,2026-05-12 00:08:32,10
EVT-000452,V38849,Galo Riquelme Canals,Xbox,Efectivo,479.8,0.92,2026-05-12 00:08:50,10
EVT-000030,V30767,Ariel Juliá Jordán,Switch,Yape,279.9,0.91,2026-05-12 00:08:03,10
EVT-000234,V27348,Gregorio Álvaro Llobet,PC,Efectivo,249.9,0.91,2026-05-12 00:08:24,10
EVT-000326,V05568,Tatiana Serra Carretero,Switch,Tarjeta Crédito,249.9,0.91,2026-05-12 00:08:35,10
EVT-000039,V28864,Guiomar Campillo Reig,Switch,Plin,389.7,0.9,2026-05-12 00:08:04,10
EVT-000054,V06541,Edelmira Barba-Catalá,Switch,Yape,279.9,0.9,2026-05-12 00:08:05,10
EVT-000097,V28119,Sabas Rodriguez-Llopis,PS5,Efectivo,779.7,0.9,2026-05-12 00:08:10,10
EVT-000256,V07969,Heliodoro Nazaret Bayo Fernández,PC,Efectivo,459.8,0.9,2026-05-12 00:08:27,10
EVT-000374,V14871,Xiomara Heras Barberá,PS4,Tarjeta Crédito,899.7,0.9,2026-05-12 00:08:40,10
EVT-000074,V04878,Alfonso Cabello-Olivares,Switch,Tarjeta Crédito,259.8,0.89,2026-05-12 00:08:07,10
EVT-000084,V48325,Constanza Aramburu Arellano,PS5,Yape,779.7,0.89,2026-05-12 00:08:08,10
EVT-000086,V04541,Geraldo Rius Francisco,Switch,Efectivo,499.8,0.89,2026-05-12 00:08:09,10
EVT-000092,V32823,Marcela Valero Conesa,PS5,Tarjeta Crédito,239.9,0.89,2026-05-12 00:08:09,10
EVT-000164,V42785,Diana de Iborra,PS5,Plin,869.7,0.89,2026-05-12 00:08:17,10
EVT-000308,V22925,Hilda del Busquets,PS5,Tarjeta Crédito,479.8,0.89,2026-05-12 00:08:33,10
EVT-000429,V06470,Tristán Navas Valcárcel,PS5,Tarjeta Débito,289.9,0.89,2026-05-12 00:08:47,10
EVT-000078,V19595,María Del Carmen Giménez Atienza,PC,Yape,439.8,0.88,2026-05-12 00:08:08,10
EVT-000141,V26549,Ángela Menéndez Daza,PS5,Plin,499.8,0.88,2026-05-12 00:08:14,10
EVT-000255,V21228,Bernardita Quesada Arellano,PS5,Plin,479.8,0.88,2026-05-12 00:08:27,10
EVT-000260,V40454,Abraham Martín Ariza,PS5,Efectivo,809.7,0.88,2026-05-12 00:08:27,10
EVT-000273,V05383,Jennifer Izaguirre,PC,Tarjeta Crédito,259.8,0.88,2026-05-12 00:08:29,10
EVT-000284,V23673,Itziar Arranz Muñoz,Switch,Yape,259.8,0.88,2026-05-12 00:08:30,10
EVT-000003,V35472,Lupe Jerez Pombo,PS5,Efectivo,809.7,0.87,2026-05-12 00:08:00,10
EVT-000157,V45125,Haydée Tenorio Sala,PC,Tarjeta Crédito,229.9,0.87,2026-05-12 00:08:16,10
EVT-000276,V26096,Cirino Pinto-Carvajal,PS5,Tarjeta Débito,289.9,0.87,2026-05-12 00:08:29,10
EVT-000281,V44703,Eusebio Bruno Cortina Seguí,Switch,Efectivo,239.9,0.87,2026-05-12 00:08:30,10
EVT-000301,V17992,Mireia Bautista Naranjo,PS5,Efectivo,249.9,0.87,2026-05-12 00:08:32,10
EVT-000066,V28379,Ruben Ayala,PS5,Tarjeta Crédito,659.7,0.86,2026-05-12 00:08:07,10
