event_id,venta_id,cliente_nombre,plataforma,metodo_pago,total,riesgo_fraude,event_timestamp,batch_id
EVT-000052,V19176,Luna Miguel Barroso,PS5,Plin,439.8,0.95,2026-05-12 00:34:42,13
EVT-000053,V31670,Carmelita Díez Llano,Switch,Efectivo,129.9,0.95,2026-05-12 00:34:42,13
EVT-000154,V16503,Bernardita Marquez-Sureda,PS5,Yape,249.9,0.95,2026-05-12 00:34:53,13
EVT-000393,V24290,Paz Serna Montoya,Switch,Efectivo,499.8,0.95,2026-05-12 00:35:21,13
EVT-000021,V42203,Lorenza Ripoll-Pou,PS5,Tarjeta Débito,299.9,0.94,2026-05-12 00:34:39,13
EVT-000073,V13497,Asunción Alberola Rivas,Switch,Efectivo,189.9,0.94,2026-05-12 00:34:44,13
EVT-000164,V43366,Augusto Villalonga Merino,PS5,Yape,219.9,0.94,2026-05-12 00:34:54,13
EVT-000245,V10394,Nicanor Rueda Olivé,Xbox,Yape,239.9,0.94,2026-05-12 00:35:03,13
EVT-000076,V23324,Esteban del Colomer,PS4,Tarjeta Crédito,269.9,0.93,2026-05-12 00:34:45,13
EVT-000173,V17375,Pepito Arana Torrent,PC,Efectivo,689.7,0.93,2026-05-12 00:34:55,13
EVT-000203,V46720,José Manuel Ruperto Atienza Plaza,PC,Efectivo,459.8,0.93,2026-05-12 00:34:58,13
EVT-000263,V02453,José Roma Quevedo,PS5,Efectivo,899.7,0.93,2026-05-12 00:35:05,13
EVT-000386,V42637,Esperanza Vazquez Bas,PS5,Yape,539.8,0.93,2026-05-12 00:35:21,13
EVT-000404,V29070,Itziar Arranz Muñoz,PS5,Yape,219.9,0.93,2026-05-12 00:35:22,13
EVT-000361,V28375,Maximino Isern,Xbox,Tarjeta Débito,479.8,0.92,2026-05-12 00:35:18,13
EVT-000149,V12342,Fidela Alonso Perelló,PS5,Plin,189.9,0.91,2026-05-12 00:34:53,13
EVT-000016,V15113,Amado David Valencia Chaparro,Xbox,Tarjeta Crédito,459.8,0.9,2026-05-12 00:34:38,13
EVT-000128,V45232,Loreto Arribas Peña,Switch,Plin,199.9,0.9,2026-05-12 00:34:50,13
EVT-000146,V47644,Leonor Zurita Vendrell,PS5,Efectivo,299.9,0.9,2026-05-12 00:34:52,13
EVT-000311,V36285,Rita Nicolau Castro,Switch,Yape,749.7,0.9,2026-05-12 00:35:13,13
EVT-000332,V27421,Ainara de Álvaro,PS5,Plin,719.7,0.9,2026-05-12 00:35:15,13
EVT-000340,V39011,Ana Frutos Recio,PC,Plin,219.9,0.9,2026-05-12 00:35:16,13
EVT-000082,V23633,Roberto Borrego,PC,Tarjeta Crédito,219.9,0.89,2026-05-12 00:34:45,13
EVT-000094,V30898,Gregorio Álvaro Llobet,PS5,Tarjeta Débito,869.7,0.89,2026-05-12 00:34:46,13
EVT-000254,V29973,Carmelo Espiridión Tirado Segura,PS5,Efectivo,689.7,0.89,2026-05-12 00:35:04,13
EVT-000280,V18526,María Belén Montoya,PS5,Plin,299.9,0.89,2026-05-12 00:35:07,13
EVT-000319,V00256,Heliodoro Nazaret Bayo Fernández,PC,Tarjeta Crédito,219.9,0.89,2026-05-12 00:35:14,13
EVT-000036,V47710,Ale Tormo-Duarte,PS5,Tarjeta Crédito,219.9,0.88,2026-05-12 00:34:40,13
EVT-000140,V32084,Amílcar Jerónimo Agudo Godoy,PS4,Yape,299.9,0.88,2026-05-12 00:34:52,13
EVT-000213,V37721,Amalia del Blanes,PS5,Efectivo,539.8,0.88,2026-05-12 00:35:00,13
EVT-000412,V20222,Nicanor Rueda Olivé,Switch,Plin,279.9,0.88,2026-05-12 00:35:23,13
EVT-000070,V03481,Enrique Silvio Blanch Fuertes,PS5,Plin,179.9,0.87,2026-05-12 00:34:44,13
EVT-000081,V15663,Esteban Corbacho,PS5,Efectivo,249.9,0.87,2026-05-12 00:34:45,13
EVT-000160,V01890,Pascuala Barrena Priego,Xbox,Tarjeta Crédito,229.9,0.87,2026-05-12 00:34:54,13
EVT-000249,V03642,Aarón Lillo-Ripoll,PS4,Efectivo,569.7,0.87,2026-05-12 00:35:04,13
EVT-000314,V35361,Soledad Serra Carvajal,Xbox,Efectivo,379.8,0.87,2026-05-12 00:35:13,13
EVT-000365,V25397,Lucio Bárcena Vilalta,Xbox,Plin,219.9,0.87,2026-05-12 00:35:18,13
EVT-000385,V28216,Leticia Tapia Mir,Switch,Plin,399.8,0.87,2026-05-12 00:35:21,13
EVT-000096,V31902,Poncio Escrivá Baños,Switch,Yape,129.9,0.86,2026-05-12 00:34:47,13
EVT-000129,V34488,Tomasa Tomé Arco,PS5,Yape,219.9,0.86,2026-05-12 00:34:50,13
EVT-000285,V43041,Lorenza Ripoll-Pou,PS5,Efectivo,539.8,0.86,2026-05-12 00:35:08,13
EVT-000321,V39890,Luis Ángel Jordán Rueda,Switch,Efectivo,279.9,0.86,2026-05-12 00:35:14,13
