event_id,venta_id,cliente_nombre,plataforma,metodo_pago,total,riesgo_fraude,event_timestamp,batch_id
EVT-000358,V22715,desconocido,Xbox,Tarjeta Crédito,259.9,0.94,2026-05-11 00:55:06,5
EVT-000379,V46395,desconocido,PS4,Plin,399.8,0.93,2026-05-11 00:55:08,5
EVT-000380,V43650,desconocido,PS4,Yape,479.8,0.9,2026-05-11 00:55:08,5
EVT-000364,V40748,desconocido,PC,Efectivo,219.9,0.89,2026-05-11 00:55:07,5
EVT-000378,V46461,desconocido,Xbox,Tarjeta Crédito,279.9,0.88,2026-05-11 00:55:08,5
EVT-000384,V19864,desconocido,Switch,Efectivo,179.9,0.83,2026-05-11 00:55:09,5
EVT-000351,V41229,desconocido,Switch,Tarjeta Débito,229.9,0.82,2026-05-11 00:55:05,5
EVT-000389,V10181,desconocido,Xbox,Tarjeta Crédito,219.9,0.76,2026-05-11 00:55:09,5
EVT-000391,V18850,desconocido,PS4,Plin,259.9,0.76,2026-05-11 00:55:09,5
EVT-000359,V41004,desconocido,Switch,Yape,229.9,0.75,2026-05-11 00:55:06,5
