message_key,kafka_timestamp,event_id,event_type,event_timestamp,venta_id,cliente_id,juego_id,plataforma,metodo_pago,vendedor,precio,cantidad,total,cliente_nombre,nivel_membresia,distrito,riesgo_fraude,venta_riesgosa,processing_timestamp,batch_id
V07123,2026-05-12 00:52:01.073,EVT-001273,venta_completada,2026-05-12 00:52:01,V07123,C0214,JV001,PS5,Tarjeta Crédito,María,299.9,1,299.9,Leonor Alvarado Seco,Básico,Surquillo,0.28,False,2026-05-12 00:52:10.012,21
V30863,2026-05-12 00:52:01.175,EVT-001274,venta_creada,2026-05-12 00:52:01,V30863,C0448,JV018,PC,Yape,Luis,129.9,2,259.8,Feliciana Pizarro Lucena,Gold,Jesús María,0.86,True,2026-05-12 00:52:10.012,21
V15498,2026-05-12 00:52:01.276,EVT-001275,envio_preparado,2026-05-12 00:52:01,V15498,C0011,JV004,Switch,Tarjeta Crédito,José,279.9,3,839.7,Asunción Catalán Sedano,Gold,San Miguel,0.34,False,2026-05-12 00:52:10.012,21
V23562,2026-05-12 00:52:01.377,EVT-001276,envio_preparado,2026-05-12 00:52:01,V23562,C0456,JV005,PS5,Tarjeta Débito,Carlos,299.9,1,299.9,Abraham Martín Ariza,Gold,Surco,0.86,True,2026-05-12 00:52:10.012,21
V12464,2026-05-12 00:52:01.478,EVT-001277,pago_aprobado,2026-05-12 00:52:01,V12464,C0053,JV004,Switch,Tarjeta Débito,Luis,279.9,1,279.9,Geraldo Gomez,Platinum,Breña,0.06,False,2026-05-12 00:52:10.012,21
V23324,2026-05-12 00:52:01.652,EVT-001278,venta_creada,2026-05-12 00:52:01,V23324,C0031,JV013,PS4,Tarjeta Crédito,María,269.9,1,269.9,Esteban del Colomer,Silver,Jesús María,0.58,False,2026-05-12 00:52:10.012,21
V14522,2026-05-12 00:52:01.753,EVT-001279,pago_aprobado,2026-05-12 00:52:01,V14522,C0428,JV018,Switch,Tarjeta Débito,Carlos,129.9,1,129.9,Raimundo Tur-Palau,Gold,Surco,0.05,False,2026-05-12 00:52:10.012,21
V04439,2026-05-12 00:52:01.854,EVT-001280,pago_aprobado,2026-05-12 00:52:01,V04439,C0177,JV013,PS5,Plin,Luis,269.9,1,269.9,Porfirio Vicens-Casal,Gold,Pueblo Libre,0.79,True,2026-05-12 00:52:10.012,21
V28215,2026-05-12 00:52:01.957,EVT-001281,venta_creada,2026-05-12 00:52:01,V28215,C0165,JV007,PS5,Yape,Carlos,249.9,1,249.9,Mateo del Cepeda,Básico,Breña,0.62,False,2026-05-12 00:52:10.012,21
V32535,2026-05-12 00:52:02.060,EVT-001282,venta_creada,2026-05-12 00:52:02,V32535,C0258,JV008,Switch,Tarjeta Crédito,José,239.9,1,239.9,Florina de Rico,Gold,Los Olivos,0.39,False,2026-05-12 00:52:10.012,21
V29200,2026-05-12 00:52:02.161,EVT-001283,venta_creada,2026-05-12 00:52:02,V29200,C0390,JV003,Switch,Plin,José,229.9,1,229.9,Ruth Gelabert Hidalgo,Silver,Surquillo,0.19,False,2026-05-12 00:52:10.012,21
V37482,2026-05-12 00:52:02.262,EVT-001284,pago_aprobado,2026-05-12 00:52:02,V37482,C0316,JV015,PS5,Yape,María,239.9,2,479.8,Clotilde Carvajal Torrijos,Básico,Callao,0.78,True,2026-05-12 00:52:10.012,21
V45198,2026-05-12 00:52:02.364,EVT-001285,venta_confirmada,2026-05-12 00:52:02,V45198,C0142,JV015,PS5,Yape,José,239.9,1,239.9,Anabel Báez Marti,Gold,Surco,0.89,True,2026-05-12 00:52:10.012,21
V16271,2026-05-12 00:52:02.465,EVT-001286,venta_cancelada,2026-05-12 00:52:02,V16271,C0402,JV016,PS5,Plin,Carlos,289.9,2,579.8,Nidia Yáñez Arregui,Básico,San Miguel,0.19,False,2026-05-12 00:52:10.012,21
