message_key,kafka_timestamp,event_id,event_type,event_timestamp,venta_id,cliente_id,juego_id,plataforma,metodo_pago,vendedor,precio,cantidad,total,cliente_nombre,nivel_membresia,distrito,riesgo_fraude,venta_riesgosa,processing_timestamp,batch_id
V40749,2026-05-11 23:18:46.978,EVT-000001,pago_aprobado,2026-05-11 23:18:46,V40749,C0398,JV001,PS5,Tarjeta Débito,Ana,299.9,1,299.9,Piedad Cuervo Gelabert,Silver,Jesús María,0.42,False,2026-05-12 00:03:58.889,8
V48073,2026-05-11 23:18:47.080,EVT-000002,venta_confirmada,2026-05-11 23:18:47,V48073,C0106,JV010,Xbox,Plin,José,229.9,2,459.8,Asunción Bolaños Ramos,Silver,San Miguel,0.33,False,2026-05-12 00:03:58.889,8
V44158,2026-05-11 23:18:47.181,EVT-000003,venta_completada,2026-05-11 23:18:47,V44158,C0004,JV001,PS4,Tarjeta Crédito,Ana,299.9,1,299.9,Leonardo Cabello Aguiló,Silver,San Borja,0.27,False,2026-05-12 00:03:58.889,8
V41183,2026-05-11 23:18:47.283,EVT-000004,venta_completada,2026-05-11 23:18:47,V41183,C0396,JV015,PS5,Tarjeta Débito,María,239.9,1,239.9,Marcela de Rozas,Básico,Surquillo,0.17,False,2026-05-12 00:03:58.889,8
V47314,2026-05-11 23:18:47.384,EVT-000005,pago_aprobado,2026-05-11 23:18:47,V47314,C0287,JV014,PC,Yape,Luis,259.9,1,259.9,Cristina Llopis Tena,Gold,Los Olivos,0.2,False,2026-05-12 00:03:58.889,8
V01480,2026-05-11 23:18:47.486,EVT-000006,venta_completada,2026-05-11 23:18:47,V01480,C0076,JV018,Switch,Plin,Luis,129.9,3,389.7,Antonia Coloma Peral,Platinum,Comas,0.15,False,2026-05-12 00:03:58.889,8
V40539,2026-05-11 23:18:47.587,EVT-000007,venta_creada,2026-05-11 23:18:47,V40539,C0153,JV006,PC,Tarjeta Crédito,María,219.9,3,659.7,Galo Riquelme Canals,Silver,San Isidro,0.34,False,2026-05-12 00:03:58.889,8
V49608,2026-05-11 23:18:47.687,EVT-000008,venta_completada,2026-05-11 23:18:47,V49608,C0307,JV010,PS5,Yape,Carlos,229.9,3,689.7,Cristina Priscila Suárez Guardiola,Básico,Surco,0.73,False,2026-05-12 00:03:58.889,8
V01632,2026-05-11 23:18:47.788,EVT-000009,pago_aprobado,2026-05-11 23:18:47,V01632,C0203,JV019,Switch,Tarjeta Débito,Ana,249.9,1,249.9,Fulgencio Aristides Sacristán Estevez,Gold,Lince,0.61,False,2026-05-12 00:03:58.889,8
V35288,2026-05-11 23:18:47.888,EVT-000010,pago_aprobado,2026-05-11 23:18:47,V35288,C0388,JV018,Switch,Efectivo,Luis,129.9,1,129.9,Pepito Arana Torrent,Platinum,Los Olivos,0.55,False,2026-05-12 00:03:58.889,8
