message_key,kafka_timestamp,event_id,event_type,event_timestamp,venta_id,cliente_id,juego_id,plataforma,metodo_pago,vendedor,precio,cantidad,total,cliente_nombre,nivel_membresia,distrito,riesgo_fraude,venta_riesgosa,processing_timestamp,batch_id
V01559,2026-05-11 00:42:55.653,EVT-000257,venta_confirmada,2026-05-11 00:42:55,V01559,C481,JV007,Switch,Efectivo,María,249.9,2,499.8,desconocido,Normal,Desconocido,0.39,False,2026-05-11 00:43:32.683,1
V22292,2026-05-11 00:42:55.754,EVT-000258,venta_completada,2026-05-11 00:42:55,V22292,C491,JV018,Xbox,Tarjeta Débito,Luis,129.9,1,129.9,desconocido,Normal,Desconocido,0.14,False,2026-05-11 00:43:32.683,1
V14993,2026-05-11 00:42:55.856,EVT-000259,venta_confirmada,2026-05-11 00:42:55,V14993,C193,JV010,Switch,Efectivo,María,229.9,3,689.7,desconocido,Normal,Desconocido,0.82,True,2026-05-11 00:43:32.683,1
V14469,2026-05-11 00:42:55.957,EVT-000260,venta_confirmada,2026-05-11 00:42:55,V14469,C410,JV001,PC,Tarjeta Débito,Luis,299.9,1,299.9,desconocido,Normal,Desconocido,0.53,False,2026-05-11 00:43:32.683,1
V30462,2026-05-11 00:42:56.059,EVT-000261,pago_aprobado,2026-05-11 00:42:56,V30462,C067,JV006,PS4,Tarjeta Crédito,María,219.9,1,219.9,desconocido,Normal,Desconocido,0.27,False,2026-05-11 00:43:32.683,1
V42352,2026-05-11 00:42:56.160,EVT-000262,venta_completada,2026-05-11 00:42:56,V42352,C209,JV003,PS4,Plin,Luis,229.9,1,229.9,desconocido,Normal,Desconocido,0.05,False,2026-05-11 00:43:32.683,1
V29547,2026-05-11 00:42:56.276,EVT-000263,venta_creada,2026-05-11 00:42:56,V29547,C448,JV006,PS5,Tarjeta Crédito,Ana,219.9,3,659.7,desconocido,Normal,Desconocido,0.27,False,2026-05-11 00:43:32.683,1
V35964,2026-05-11 00:42:56.389,EVT-000264,venta_creada,2026-05-11 00:42:56,V35964,C419,JV012,Xbox,Tarjeta Crédito,José,189.9,1,189.9,desconocido,Normal,Desconocido,0.32,False,2026-05-11 00:43:32.683,1
V32500,2026-05-11 00:42:56.491,EVT-000265,venta_cancelada,2026-05-11 00:42:56,V32500,C482,JV007,PS5,Efectivo,María,249.9,2,499.8,desconocido,Normal,Desconocido,0.92,True,2026-05-11 00:43:32.683,1
V04236,2026-05-11 00:42:56.592,EVT-000266,pago_aprobado,2026-05-11 00:42:56,V04236,C060,JV008,Switch,Efectivo,Ana,239.9,2,479.8,desconocido,Normal,Desconocido,0.46,False,2026-05-11 00:43:32.683,1
